Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-1383.033	-1545.161	162.1274	2.005357	0.1196605	1.03779
6	-1395.273	-1557.259	161.9861	2.07944	0.1084474	1.141466
12	-1391.283	-1553.468	162.1843	2.11999	0.1064034	0.9165761
18	-1386.667	-1548.726	162.0585	2.141811	0.1105432	1.007296
24	-1378.533	-1540.568	162.0357	2.137491	0.1307199	0.9544656
30	-1371.532	-1533.549	162.0171	2.189423	0.1446838	0.8602642
36	-1371.212	-1533.257	162.0456	2.092964	0.123972	1.015769
42	-1372.395	-1534.532	162.1366	2.134488	0.123972	0.8747536
48	-1377.954	-1539.992	162.0377	2.092603	0.154769	0.9073431
54	-1392.454	-1554.523	162.0687	2.181149	0.09675096	1.015277
60	-1389.59	-1551.51	161.9197	1.889442	0.1499677	1.227305
66	-1378.471	-1540.634	162.1635	1.954947	0.1156237	1.066559
72	-1374.867	-1536.897	162.0295	2.138685	0.09635454	1.09455
78	-1376.145	-1538.436	162.2905	2.038499	0.1151428	0.8470268
84	-1383.575	-1545.319	161.7438	1.934721	0.204551	1.189285
90	-1381.979	-1543.895	161.916	1.757499	0.148633	1.342231
96	-1387.985	-1549.85	161.8656	1.784231	0.1263989	1.424595
102	-1387.463	-1549.282	161.819	1.898125	0.1263989	1.37224
108	-1392.877	-1553.834	160.9567	2.111957	0.371309	1.358782
114	-1380.893	-1543.027	162.1335	1.933514	0.115086	1.116084
120	-1372.935	-1534.481	161.5452	2.057304	0.1471857	1.402053
126	-1375.936	-1537.389	161.4535	1.966201	0.08157037	1.730788
132	-1374.143	-1535.02	160.8774	1.778383	0.08490757	2.232386
138	-1375.49	-1536.325	160.8345	1.620143	0.1686042	2.154201
144	-1380.742	-1542.181	161.4391	1.617135	0.1834187	1.715855
150	-1374.86	-1536.401	161.5406	1.677715	0.1651975	1.64233
156	-1381.338	-1542.741	161.4032	1.825586	0.1809618	1.597794
162	-1378.334	-1540.228	161.894	1.841019	0.1276671	1.354238
168	-1389.755	-1550.402	160.6469	1.62602	0.126407	2.36685
174	-1379.803	-1538.64	158.8376	1.556239	0.09245178	3.583152
180	-1373.852	-1534.665	160.8132	1.618748	0.1478551	2.214755
186	-1377.629	-1538.146	160.5173	1.658482	0.2200015	2.233431
192	-1373.424	-1534.788	161.3635	1.820525	0.1878554	1.614623
198	-1375.7	-1537.507	161.8068	1.815195	0.1508598	1.376743
204	-1377.822	-1539.662	161.8408	1.852361	0.1508598	1.320192
210	-1390.608	-1552.138	161.5303	2.051845	0.1811762	1.328485
216	-1381.79	-1543.647	161.8572	1.91367	0.203441	1.110414
222	-1370.918	-1532.832	161.9141	2.045778	0.2022349	0.9279217
228	-1384.572	-1545.824	161.2524	2.050226	0.3432648	1.21497
234	-1380.602	-1542.685	162.0839	2.062322	0.14256	0.9369579
240	-1372.572	-1534.692	162.1204	1.965508	0.1292602	1.047287
246	-1381.458	-1543.309	161.8508	2.037668	0.138453	1.194778
252	-1376.376	-1538.485	162.109	1.91131	0.09700698	1.222288
258	-1380.493	-1542.362	161.8692	1.940527	0.1989484	1.087084
264	-1380.66	-1542.665	162.0055	1.955959	0.1011676	1.256756
270	-1384.397	-1545.909	161.5117	1.692173	0.1852873	1.606011
276	-1386.856	-1547.898	161.0422	1.693075	0.2154621	1.871833
282	-1386.324	-1547.806	161.482	1.660905	0.1148405	1.824252
288	-1374.451	-1536.303	161.8525	1.782165	0.1148405	1.470676
294	-1387.074	-1547.919	160.8449	1.618386	0.2390731	2.010971
300	-1391.884	-1552.836	160.9524	1.686324	0.1789655	2.010971
306	-1401.057	-1560.863	159.8054	1.574587	0.3865206	2.490905
312	-1380.394	-1540.065	159.6707	1.332375	0.2410327	2.925935
318	-1386	-1545.956	159.9558	1.315315	0.1918263	2.848851
324	-1386.842	-1547.078	160.2353	1.598347	0.3550458	2.243777
330	-1377.053	-1538.118	161.065	1.747386	0.1417735	1.97918
336	-1386.699	-1548.021	161.322	1.848941	0.1508564	1.710946
342	-1369.876	-1531.137	161.2611	1.797778	0.1659042	1.753711
348	-1386.419	-1547.373	160.954	1.776931	0.231619	1.84387
354	-1372.844	-1534.3	161.4564	1.624658	0.1111618	1.876784
360	-1373.963	-1535.097	161.1341	1.541966	0.205557	1.931478
366	-1384.365	-1545.168	160.8022	1.630926	0.2644108	1.987054
372	-1391.321	-1552.124	160.8035	1.831774	0.1910723	1.988057
378	-1381.358	-1542.617	161.2596	1.743799	0.1841307	1.751354
384	-1390.384	-1551.535	161.1509	1.772287	0.208636	1.755696
390	-1384.719	-1545.989	161.2705	1.695258	0.1277357	1.910903
396	-1394.007	-1555.523	161.5161	1.695258	0.09158443	1.844185
402	-1391.743	-1552.866	161.1234	1.584768	0.1908178	1.939702
408	-1385.941	-1546.564	160.6232	1.636196	0.1908178	2.234925
414	-1384.845	-1545.357	160.5119	1.620602	0.1402717	2.423004
